user_id,business_id,stars
---1lKK3aKOuomHnwAkAow,Vg1C_1eqwIwkZLIXGMTW3g,1
---1lKK3aKOuomHnwAkAow,bPcqucuuClxYrIM8xWoArg,5
---1lKK3aKOuomHnwAkAow,sZsJooAzpKqOvDysphkqpQ,5
--2HUmLkcNHZp0xw6AMBPg,cKgUCzMGuRgkbKXUsgeXUw,5
--2HUmLkcNHZp0xw6AMBPg,yX0pOWG_Be9TjGnm0aihVA,5
--Qh8yKWAvIP4V4K8ZPfHA,BCknXEeT9vXQzKGHotsJKQ,3
--Qh8yKWAvIP4V4K8ZPfHA,jC3TqY8iKDlIG3hPREBsFA,3
--Qh8yKWAvIP4V4K8ZPfHA,Dcpl3tijmPwSnLdYVtqWag,2
--Qh8yKWAvIP4V4K8ZPfHA,ZbnFrow_TRDhpzkzTWAVPg,1
--Qh8yKWAvIP4V4K8ZPfHA,L-Yj3Y1bYKTSg4uE9KTVBw,4
--Qh8yKWAvIP4V4K8ZPfHA,oAq3-dXyDT3k4Mluc1ftTA,4
--Qh8yKWAvIP4V4K8ZPfHA,sGAbBm8eX6DY5R5S2NSy6g,3
--Qh8yKWAvIP4V4K8ZPfHA,i--dxuKd_6Dx7mwgQ5nl-g,3
--Qh8yKWAvIP4V4K8ZPfHA,9n8jDTvkOjoH3fD_Y9KC1g,2
--Qh8yKWAvIP4V4K8ZPfHA,NzmJJvTEotNCEduQUcIwBg,2
--Qh8yKWAvIP4V4K8ZPfHA,1XCR1GxL44O2hg3ehRwtMA,4
--Qh8yKWAvIP4V4K8ZPfHA,d7xjodUIGqFYexZoXEiF4Q,3
--Qh8yKWAvIP4V4K8ZPfHA,gtfLQysuCBEAQk3wwWxwTg,4
--Qh8yKWAvIP4V4K8ZPfHA,Dv0OHpQSL4hOGl2KAEVvlA,3
--Qh8yKWAvIP4V4K8ZPfHA,HkHTdTvzbn-bmeQv_-2u0Q,3
--Qh8yKWAvIP4V4K8ZPfHA,nJBwEYaulNXHPAUP0OBRtg,3
--Qh8yKWAvIP4V4K8ZPfHA,-av1lZI1JDY_RZN2eTMnWg,2
--Qh8yKWAvIP4V4K8ZPfHA,eEKfOX6KtQmLgb8z-1VfUA,3
--RlSfc-QmcHFGHyX6aVjA,qjLlFfu2pnJ9lVYlj-4QVg,3
--RlSfc-QmcHFGHyX6aVjA,DLw9rK8Qb6l7ESgxtR47qQ,4
--RlSfc-QmcHFGHyX6aVjA,Gt4z3AylNTsEPDkzkaC7HA,3
--YhjyV-ce1nFLYxP49C5A,-av1lZI1JDY_RZN2eTMnWg,3
--YhjyV-ce1nFLYxP49C5A,JUI0-5ENNGAoqSF8v1LO8Q,5
--ty7Z9fEt08E3dS3_qoSA,HhVmDybpU7L50Kb5A0jXTg,5
--ty7Z9fEt08E3dS3_qoSA,zLC9OtK3SKAW_g6SXijr4w,5
-0IiMAZI2SsQ7VmyzJjokQ,TEaBolNAkOdRm2gvIYz4OQ,4
-0IiMAZI2SsQ7VmyzJjokQ,Lqp3uwGJU6CHyys-eerMmQ,4
-0S_XaK3Q_Mesal2Unta2w,VUOn9pztnaEX49Xfb_9L7A,4
-0S_XaK3Q_Mesal2Unta2w,2I7QtHJI-izdThjghMaT1g,2
-0aInSHjCWLfiNqfgmWnow,qFqueIKCVF5PlXmjl1YY9Q,5
-0aInSHjCWLfiNqfgmWnow,IEVrILZ7bkuJMYKsbAfWaQ,5
