user_id,business_id,stars
---1lKK3aKOuomHnwAkAow,t6WY1IrohUecqNjd9bG42Q,4
--2HUmLkcNHZp0xw6AMBPg,BjzVSvTuRlna5AjtpwoZyA,3
--Qh8yKWAvIP4V4K8ZPfHA,aadG1TzULt-ezzUJZUSSJQ,2
--Qh8yKWAvIP4V4K8ZPfHA,Lk2I8GTjKLd_R1drktNWNg,3
--Qh8yKWAvIP4V4K8ZPfHA,3dfJjFeXVb8UoESrypybeQ,4
--Qh8yKWAvIP4V4K8ZPfHA,bEVWHtBRYVwqaaNF4mWNYg,3
--Qh8yKWAvIP4V4K8ZPfHA,G8qvbhfbCyMAeZzYrbmZxA,4
--Qh8yKWAvIP4V4K8ZPfHA,lyIHmlIK7PKwQeGyR8svJQ,4
--Qh8yKWAvIP4V4K8ZPfHA,kemSq9mBxmPaKHQrUXPJ_g,3
--Qh8yKWAvIP4V4K8ZPfHA,WH6TE8U3B5BLRU2Ih4b4mw,3
--Qh8yKWAvIP4V4K8ZPfHA,s7Pj1mNYqRTGNOXLOiBafw,4
--RlSfc-QmcHFGHyX6aVjA,3GfdCuI0YCc5U3rLLLPHUw,4
--YhjyV-ce1nFLYxP49C5A,-Lgj3gdQZiVngAEc1yALzw,3
--ty7Z9fEt08E3dS3_qoSA,9d3xGYst3o4KhDwhF2dFMg,4
--ty7Z9fEt08E3dS3_qoSA,e7bcP2P8WO0NFe1DjjoYQA,2
-0IiMAZI2SsQ7VmyzJjokQ,xZtKQ6AFLh9P7rfmjvVjhw,5
-0S_XaK3Q_Mesal2Unta2w,orrrhqRRUORIzUSxWTveKg,5
-0aInSHjCWLfiNqfgmWnow,3N9U549Zse8UP-MwKZAjAQ,5
-0aInSHjCWLfiNqfgmWnow,S37sKRRfkhFZRpxaYzWo_A,4
-0b84SUGVN0YkG5j2MCmBw,uDb1lOfDhl_VLmAbYvp-vQ,5
-0udWcFQEt2M8kM3xcIofw,IT0IODInyhKbG4a_ka71MQ,5
-16aKjco1c0RJ7c4U-q_Kw,VzUo-RURV3VnfNItAYM8yg,5
-1BrzE0pqO_EVw9SGzHEnw,E0zjBNt4_giYtJqUjugskw,1
-21ooEUDqBkCF0hr94Pvgg,YU2XR_ZY-g2VzDpi7KMzEw,4
-267Yx8RmdP6io2-qI4UcQ,OPxWcHK96_cbmiF7legDnA,3
-267Yx8RmdP6io2-qI4UcQ,ozEDKl0tZw5ob1evx41gcQ,3
-267Yx8RmdP6io2-qI4UcQ,6xgcHeLad-VaoTIQewK84A,5
-267Yx8RmdP6io2-qI4UcQ,ydcNlRMKs93AQpOhVkSrGQ,3
-267Yx8RmdP6io2-qI4UcQ,gOOc6MDdhw7fV0Tf30mfAQ,4
-28RqJIrddOj9hhMBnzaFA,gXbDw-Rxq4feDnUWqlFDyQ,2
-28RqJIrddOj9hhMBnzaFA,9lJvU8ymisVHNa-pnowCWA,5
-2BAGRyLZ7rBY1DjGYEVOg,G6EkDTXZ6zMUovg7JTG4YQ,4
-2H3MnKkG2H-6sj_-u7nbA,gOOc6MDdhw7fV0Tf30mfAQ,5
-2OB54nQ6FsGLUM-R1KXnA,SHiJlYdxQmJur3i-gLf9MQ,3
-2OB54nQ6FsGLUM-R1KXnA,7ULRdJfVo2-Og5ZoGOECFg,3
-2gOxVWcnBr5DclrrsWXCA,0qPNeqLuKE88rKbIbSZDpg,1
-2gOxVWcnBr5DclrrsWXCA,_eYGcch95eygN_b_rigUkg,3
-2kCxY7_aw5hOz7fJnGMbQ,BYDs_o6U4CLxJec8k1Q90Q,4
-3Kq9ssSot4QizbPYO6ZQQ,QFPS9JBNdOOHVP0C3pSslw,4
-3Kq9ssSot4QizbPYO6ZQQ,-av1lZI1JDY_RZN2eTMnWg,1
-3Kq9ssSot4QizbPYO6ZQQ,tEfmHuo_dNanyTaC5PyoOQ,4
-3PTUP443q6hQESLKSu95w,tcNkrWYQmaCa8OuWU1UN_Q,5
-3PTUP443q6hQESLKSu95w,yY3jNsrpCyKTqQuRuLV8gw,5
-3gIDSqZ04FROn3du4CK2A,x_SK4kvfWdCDDBmA_ErxqA,5
-3s52C4zL_DHRK0ULG6qtg,xtktc6OTdtilAREgJH-P4g,4
-4ACMMLuk6uhtXsBfYFaPQ,75HVFV2yYaaz0qH_KCgyFQ,1
-4pGdGL_M0zGctI5jeqjAQ,l4pAkHCVUKAcDvo-iNSbYA,4
-50XWnmQGqBgEI-9ANvLlg,NLEe-RzDSU-5BN6xp_WWCw,3
-50XWnmQGqBgEI-9ANvLlg,R7LyTeiOHLyTNkA8HssBRQ,4
-50XWnmQGqBgEI-9ANvLlg,OOWSVT7NL2BlGuQyzHlvCw,5
-50XWnmQGqBgEI-9ANvLlg,0bWLkWeIcT-EnrE7SiGEBA,4
-50XWnmQGqBgEI-9ANvLlg,mxMwo3zfJwVoCIayeNcA5w,5
-594af_E7Z9VVjQc9pJK3g,qsJkjQoM3Hdg6Gtqp2S9_w,5
-594af_E7Z9VVjQc9pJK3g,LwQB9H3jZ9wTk24Lr-AnZQ,2
-5IhsZXkCka8u8LVksXKLw,xZtKQ6AFLh9P7rfmjvVjhw,3
-5IhsZXkCka8u8LVksXKLw,M95OX2nED7rjPxOURJtOCg,3
-5McD_r7-sbeZeuIAvnOJg,qsJkjQoM3Hdg6Gtqp2S9_w,5
-5ohKzWWOzAG1M1OtcoPgQ,xtktc6OTdtilAREgJH-P4g,4
-5ohKzWWOzAG1M1OtcoPgQ,5QyXpkapbgAa11FF9jZJQQ,5
-5ye1ya0wRQhNRF9NfQ1fA,VG0nWxGsPixYLsyi49gyxQ,5
-5ye1ya0wRQhNRF9NfQ1fA,XZ7eQLjyGXf6y69UT4SGhg,5
-62bpGBMxQT_EHqwl-DgvQ,c7I_UpoNg7ZP8UClLhbSUQ,5
-6559fkJ6rCWIZDbqVUomA,zDKH2ua2DauqiWOAP9yz7g,5
-6sK3CL1g1OP1FMawX2hxA,qqs7LP4TXAoOrSlaKRfz3A,5
-73QalI4iMTK0LvOhHEsVg,KBP7x08WfD__BUoE4kY0lg,3
-73QalI4iMTK0LvOhHEsVg,OugQjN04sQNahWzYEdTExQ,5
-77qd8rkbWZq9eN7YcYefA,zPdXBoS5zc8Tx2UZXKlNRQ,5
-7IMRsmV-Gt7KAK3yivZGQ,xZtKQ6AFLh9P7rfmjvVjhw,4
-7bM_DeL2Kj2CuYuVDsLNg,r05kbKriZ3Z56Nre1WQIDg,5
-7bM_DeL2Kj2CuYuVDsLNg,bzI2YREsxDomhVvvaZmcSw,4
-83s33R6DAJKlc6C5Wqzwg,qKO0pk4-dnzW6-_dNicvyw,1
-8EnCioUmDygAbsYZmTeRQ,2mfBO8iZ5E_ULmcxEXqOrw,3
-8Hwpy_Fnn3DuWQgrTuH5Q,9Dpk8U2-7bETxk6MSfCM-A,1
-8KyX-3VrqGuHeQWKDJxxg,DYnFGGYU3SkrKT_G4djpYQ,2
-8bfKCvDClxD3iKX9o7J5w,mShOJ9qFk79KnZq7E8k9hQ,1
-8nmj3B-tfY_vFiimtBOsw,n13D0oPyaa96BtZv-Yxb6Q,5
-8nmj3B-tfY_vFiimtBOsw,eZxumlgPOWk50qzsjUbMOQ,5
-8rSnT5ztVk6vmTDkxTqsQ,W9NUdpRX7gLXHLM2-NeKeA,2
-8rSnT5ztVk6vmTDkxTqsQ,5GOrW-PkisP0eXlSxy4AFg,3
-8rSnT5ztVk6vmTDkxTqsQ,V3-Bbq9uH6BnM2XsFXl6Sg,5
-8rSnT5ztVk6vmTDkxTqsQ,NPv4c-tDScToghoF9lnZbg,4
-8rSnT5ztVk6vmTDkxTqsQ,nsNONDHbV7Vudqh21uicqw,2
-8rSnT5ztVk6vmTDkxTqsQ,UwIsqUFQBDMNofkTrAP_pw,4
-8rSnT5ztVk6vmTDkxTqsQ,l4pAkHCVUKAcDvo-iNSbYA,4
-95gDpECFDSjWEL1AIrkAA,svdEhLmNmpVaIv1WLtoOvQ,1
-95gDpECFDSjWEL1AIrkAA,NxjUiGBNgyDErKXnmQ3s3w,1
-9JqNce6qGY2fTepA8XpUg,i2sSSIrgQg1fVjqYXZLvNA,4
-9MOrFh1va1SC9BBNlMTeQ,kN9JRpeG-JRXwSs7YzMwPg,4
-9MOrFh1va1SC9BBNlMTeQ,bJLDGg8IIwfTGWA8b_hPzA,4
-9RU4LuI_TfYgv9rBijJoQ,ryEwIARbKHvb0lCkAam8dQ,5
-9RU4LuI_TfYgv9rBijJoQ,wK1SMAzIpHh-KYbrs7m0nA,5
-9S_Fh-sQebyB1yhEM5zHw,3sOS8wKatd_Uoa9VEJHhrw,5
-9S_Fh-sQebyB1yhEM5zHw,5UxcmqN8MT7Pzkh32qdPNQ,1
-9S_Fh-sQebyB1yhEM5zHw,6q7TLSWByKGeIkt1HYBUgw,1
-9S_Fh-sQebyB1yhEM5zHw,7tdVsSDXRKtLLC-fD1hJ-A,1
-9SoHrhiiUVmx6-MkyR4RA,7pjjLEc_l32bjliySDWF2A,1
-9WVpTW5LAEo9y6PbW0-cw,qFqueIKCVF5PlXmjl1YY9Q,4
-9WVpTW5LAEo9y6PbW0-cw,fckUjXz1GKpafT4x7-MVJA,5
-9b4s874f_CnznTu4JorRg,CqKa_LEbFfhwCVCmcn1Q4g,5
